"Date","Price","Open","High","Low","Change %"
"Oct 25, 2019","156.375","155.800","156.975","155.330","0.56%"
"Oct 24, 2019","155.500","155.700","156.460","155.300","-0.35%"
"Oct 23, 2019","156.050","155.450","156.420","155.450","-0.19%"
"Oct 22, 2019","156.350","156.450","157.100","155.500","-0.03%"
"Oct 21, 2019","156.400","155.670","156.550","155.650","0.02%"
"Oct 20, 2019","156.375","156.375","156.375","156.375","0.00%"
"Oct 19, 2019","156.375","156.375","156.375","156.375","0.00%"
"Oct 18, 2019","156.375","155.805","156.575","155.805","-0.05%"
"Oct 17, 2019","156.450","155.900","156.450","155.730","0.05%"
"Oct 16, 2019","156.375","156.075","156.675","155.975","-0.03%"
"Oct 15, 2019","156.425","155.775","156.625","155.775","0.02%"
"Oct 14, 2019","156.400","156.450","156.650","155.750","-0.18%"
"Oct 13, 2019","156.675","156.675","156.675","156.675","0.00%"
"Oct 12, 2019","156.675","156.675","156.675","156.675","0.00%"
"Oct 11, 2019","156.675","156.325","157.025","156.175","-0.02%"
"Oct 10, 2019","156.700","156.250","157.250","156.250","-0.04%"
"Oct 09, 2019","156.755","156.395","157.095","156.135","-0.05%"
"Oct 08, 2019","156.840","156.260","157.060","156.260","-0.02%"
"Oct 07, 2019","156.875","156.325","157.075","156.125","-0.06%"
"Oct 05, 2019","156.975","156.975","156.975","156.975","0.00%"
"Oct 04, 2019","156.975","156.095","156.975","155.525","0.11%"
"Oct 03, 2019","156.800","156.270","157.000","156.230","0.03%"
"Oct 02, 2019","156.750","156.400","157.050","156.140","-0.05%"
"Oct 01, 2019","156.825","155.975","156.975","155.975","0.05%"
"Sep 30, 2019","156.750","155.950","157.150","155.930","-0.06%"
"Sep 28, 2019","156.850","156.850","156.850","156.850","0.00%"
"Sep 27, 2019","156.850","156.800","156.850","155.800","0.02%"
"Sep 26, 2019","156.825","155.825","156.825","155.825","0.00%"
"Sep 25, 2019","156.825","155.825","156.825","155.825","0.53%"
"Sep 24, 2019","156.000","155.630","156.650","155.550","-0.53%"
"Sep 23, 2019","156.825","155.775","156.985","155.775","0.11%"
"Sep 21, 2019","156.650","156.650","156.650","156.650","0.00%"
"Sep 20, 2019","156.650","155.950","157.000","155.850","-0.03%"
"Sep 19, 2019","156.700","156.050","160.800","155.900","-0.13%"
"Sep 18, 2019","156.900","155.930","156.990","155.850","0.10%"
"Sep 17, 2019","156.750","155.850","159.030","155.850","0.00%"
"Sep 16, 2019","156.750","156.000","157.000","155.750","0.11%"
"Sep 14, 2019","156.580","156.580","156.580","156.580","0.00%"
"Sep 13, 2019","156.580","156.400","157.300","156.300","-0.04%"
"Sep 12, 2019","156.650","156.000","157.050","156.000","-0.06%"
"Sep 11, 2019","156.750","156.000","157.050","155.900","0.00%"
"Sep 10, 2019","156.750","156.000","160.480","156.000","0.00%"
"Sep 09, 2019","156.750","156.000","160.480","156.000","0.16%"
"Sep 07, 2019","156.500","156.500","156.500","156.500","0.00%"
"Sep 06, 2019","156.500","156.050","157.300","155.750","-0.25%"
"Sep 05, 2019","156.900","155.850","160.330","155.750","0.10%"
"Sep 04, 2019","156.750","156.200","157.250","155.950","0.00%"
"Sep 03, 2019","156.750","156.100","157.300","156.100","0.00%"
"Sep 02, 2019","156.750","157.350","157.550","156.100","-0.16%"
"Aug 31, 2019","157.000","157.000","157.000","157.000","-0.10%"
"Aug 30, 2019","157.150","156.950","157.600","156.650","-0.47%"
"Aug 29, 2019","157.900","157.400","160.630","157.400","-1.11%"
"Aug 28, 2019","159.675","159.325","159.725","158.825","0.11%"
"Aug 27, 2019","159.500","159.000","159.800","159.000","-0.08%"
"Aug 26, 2019","159.625","158.875","159.875","158.875","0.08%"
"Aug 24, 2019","159.500","159.500","159.500","159.500","0.00%"
"Aug 23, 2019","159.500","158.750","162.230","158.530","0.00%"
"Aug 22, 2019","159.500","159.700","162.230","158.750","-0.31%"
"Aug 21, 2019","160.000","159.450","161.730","159.200","-0.09%"
"Aug 20, 2019","160.150","160.100","160.500","159.250","0.02%"
"Aug 19, 2019","160.125","160.375","161.605","159.225","0.83%"
"Aug 17, 2019","158.800","158.150","158.800","158.050","0.54%"
"Aug 16, 2019","157.950","157.500","160.130","157.500","-1.31%"
"Aug 15, 2019","160.050","157.440","160.050","157.440","-0.12%"
"Aug 14, 2019","160.250","158.850","161.480","158.850","0.00%"
"Aug 13, 2019","160.250","158.850","161.490","158.850","0.00%"
"Aug 12, 2019","160.250","159.300","160.250","158.850","1.42%"
"Aug 10, 2019","158.000","158.000","158.000","158.000","-0.04%"
"Aug 09, 2019","158.065","157.715","159.215","157.165","-1.13%"
"Aug 08, 2019","159.875","159.125","161.395","158.675","0.08%"
"Aug 07, 2019","159.750","159.500","161.520","158.950","-0.31%"
"Aug 06, 2019","160.250","160.250","161.020","158.700","0.00%"
"Aug 05, 2019","160.250","159.900","161.020","158.750","0.29%"
"Aug 03, 2019","159.790","159.790","159.790","159.790","0.00%"
"Aug 02, 2019","159.790","160.170","160.570","158.730","-0.44%"
"Aug 01, 2019","160.500","160.600","161.750","157.180","-0.03%"
"Jul 31, 2019","160.550","160.700","161.700","157.130","-0.05%"
"Jul 30, 2019","160.625","160.675","161.775","157.055","-0.31%"
"Jul 29, 2019","161.125","160.275","161.375","156.555","0.08%"
"Jul 27, 2019","161.000","161.000","161.000","161.000","0.00%"
"Jul 26, 2019","161.000","160.100","161.500","160.050","0.06%"
"Jul 25, 2019","160.900","160.650","161.800","156.780","-0.06%"
"Jul 24, 2019","161.000","160.500","161.750","156.680","0.59%"
"Jul 23, 2019","160.050","160.260","161.510","156.690","0.25%"
"Jul 22, 2019","159.650","160.200","160.900","156.080","-0.19%"
"Jul 20, 2019","159.950","159.950","159.950","159.950","0.00%"
"Jul 19, 2019","159.950","159.550","160.050","155.730","0.13%"
"Jul 18, 2019","159.750","158.950","160.250","155.930","0.08%"
"Jul 17, 2019","159.625","159.025","160.075","156.055","0.06%"
"Jul 16, 2019","159.525","159.525","160.625","156.155","0.00%"
"Jul 15, 2019","159.525","158.725","160.475","156.155","0.25%"
"Jul 13, 2019","159.125","159.125","159.125","159.125","0.00%"
"Jul 12, 2019","159.125","157.825","159.175","157.805","0.20%"
"Jul 11, 2019","158.800","157.950","159.200","157.950","0.27%"
"Jul 10, 2019","158.375","158.375","165.375","157.575","0.00%"
"Jul 09, 2019","158.375","157.475","165.375","157.355","-0.08%"
"Jul 08, 2019","158.500","157.500","165.250","156.830","0.32%"
"Jul 06, 2019","158.000","158.000","158.000","158.000","0.00%"
"Jul 05, 2019","158.000","156.750","159.500","156.630","0.05%"
"Jul 04, 2019","157.925","157.725","159.275","156.325","0.11%"
"Jul 03, 2019","157.750","157.000","164.750","156.250","0.94%"
"Jul 02, 2019","156.280","158.870","163.120","156.120","-3.73%"
"Jul 01, 2019","162.335","157.445","163.555","151.755","-0.48%"
"Jun 29, 2019","163.125","163.125","163.125","163.125","0.00%"
"Jun 28, 2019","163.125","162.625","164.375","156.075","-0.23%"
"Jun 27, 2019","163.500","162.130","165.000","157.750","1.47%"
"Jun 26, 2019","161.130","157.120","162.170","151.430","2.40%"
"Jun 25, 2019","157.350","156.100","157.530","151.660","0.06%"
"Jun 24, 2019","157.250","156.700","157.700","151.760","0.08%"
"Jun 22, 2019","157.125","157.125","157.125","157.125","0.00%"
"Jun 21, 2019","157.125","156.355","157.795","156.125","0.00%"
"Jun 20, 2019","157.125","157.125","157.825","151.885","0.00%"
"Jun 19, 2019","157.125","156.275","157.825","151.885","0.85%"
"Jun 18, 2019","155.800","155.800","157.200","151.260","-0.84%"
"Jun 17, 2019","157.125","155.875","157.865","151.885","0.66%"
"Jun 15, 2019","156.090","156.090","156.090","156.090","0.06%"
"Jun 14, 2019","156.000","152.100","156.160","152.100","1.88%"
"Jun 13, 2019","153.125","150.855","153.875","150.855","0.81%"
"Jun 12, 2019","151.900","151.900","152.600","150.950","0.00%"
"Jun 11, 2019","151.900","149.750","152.600","149.750","0.43%"
"Jun 10, 2019","151.250","149.750","152.000","149.750","2.02%"
"Jun 08, 2019","148.250","148.250","148.250","148.250","0.00%"
"Jun 07, 2019","148.250","146.800","148.880","146.800","-1.66%"
"Jun 06, 2019","150.755","148.975","151.205","148.825","-0.09%"
"Jun 05, 2019","150.885","148.805","151.635","148.805","1.74%"
"Jun 04, 2019","148.310","146.920","148.470","146.920","0.08%"
"Jun 03, 2019","148.185","147.535","148.585","146.885","0.76%"
"Jun 01, 2019","147.060","147.060","147.060","147.060","0.07%"
"May 31, 2019","146.955","147.105","148.855","146.445","-2.55%"
"May 30, 2019","150.795","149.765","150.795","148.015","0.03%"
"May 29, 2019","150.750","150.500","152.670","150.200","-0.50%"
"May 28, 2019","151.500","150.000","152.040","149.450","0.41%"
"May 27, 2019","150.875","152.625","152.725","149.875","-0.49%"
"May 25, 2019","151.625","151.625","151.625","151.625","-0.08%"
"May 24, 2019","151.750","151.650","152.600","149.200","-0.08%"
